leaguename,matchdate,matchday,hometeam,awayteam,homescore,awayscore,attendance
"Allsvenskan 1933/34",1933-07-30,1,"IFK Eskilstuna","IF Elfsborg",1,1,2812
"Allsvenskan 1933/34",1933-07-30,1,"Halmstads BK",AIK,2,2,10411
"Allsvenskan 1933/34",1933-07-30,1,"Helsingborgs IF","Gefle IF",5,1,6362
"Allsvenskan 1933/34",1933-07-30,1,"Sandvikens IF","IFK Göteborg",4,1,3327
"Allsvenskan 1933/34",1933-07-30,1,"Örgryte IS","IS Halmia",3,3,6898
"Allsvenskan 1933/34",1933-08-06,2,AIK,"Gefle IF",4,2,9787
"Allsvenskan 1933/34",1933-08-06,2,GAIS,"IFK Eskilstuna",2,2,4606
"Allsvenskan 1933/34",1933-08-06,2,"IS Halmia","Helsingborgs IF",1,2,7457
"Allsvenskan 1933/34",1933-08-06,2,"Sandvikens IF","Halmstads BK",6,0,3256
"Allsvenskan 1933/34",1933-08-11,2,"IFK Göteborg","Örgryte IS",4,0,9301
"Allsvenskan 1933/34",1933-08-13,3,"IFK Eskilstuna","Gefle IF",7,4,3442
"Allsvenskan 1933/34",1933-08-13,3,"IFK Göteborg","Halmstads BK",1,3,7940
"Allsvenskan 1933/34",1933-08-13,3,"IS Halmia","Örgryte IS",2,1,3719
"Allsvenskan 1933/34",1933-08-13,3,"Helsingborgs IF",GAIS,3,1,8516
"Allsvenskan 1933/34",1933-08-13,3,"Sandvikens IF",AIK,5,3,8529
"Allsvenskan 1933/34",1933-08-20,4,AIK,"IFK Göteborg",2,3,13941
"Allsvenskan 1933/34",1933-08-20,4,"IFK Eskilstuna","Halmstads BK",2,3,3950
"Allsvenskan 1933/34",1933-08-20,4,"Gefle IF","Helsingborgs IF",2,2,7208
"Allsvenskan 1933/34",1933-08-20,4,"Örgryte IS","Sandvikens IF",1,1,11836
"Allsvenskan 1933/34",1933-09-10,4,"IS Halmia",GAIS,2,1,3698
"Allsvenskan 1933/34",1933-08-27,5,"IF Elfsborg","IFK Göteborg",2,2,5108
"Allsvenskan 1933/34",1933-08-27,5,GAIS,"IS Halmia",5,2,6138
"Allsvenskan 1933/34",1933-08-27,5,"Gefle IF",AIK,2,1,6465
"Allsvenskan 1933/34",1933-08-27,5,"Halmstads BK","IFK Eskilstuna",4,1,5077
"Allsvenskan 1933/34",1933-08-27,5,"Helsingborgs IF","Sandvikens IF",7,2,10875
"Allsvenskan 1933/34",1933-09-03,6,"IF Elfsborg","Helsingborgs IF",4,2,7517
"Allsvenskan 1933/34",1933-09-03,6,"IFK Eskilstuna",AIK,4,2,7826
"Allsvenskan 1933/34",1933-09-03,6,"IS Halmia","Gefle IF",2,1,3375
"Allsvenskan 1933/34",1933-09-03,6,"Sandvikens IF","Örgryte IS",1,3,3908
"Allsvenskan 1933/34",1933-09-10,7,"Örgryte IS","IF Elfsborg",4,3,14546
"Allsvenskan 1933/34",1933-10-29,7,"IFK Eskilstuna",GAIS,1,5,3870
"Allsvenskan 1933/34",1933-11-12,7,AIK,"IS Halmia",3,0,10546
