leaguename,matchdate,matchday,hometeam,awayteam,homescore,awayscore,attendance
"Allsvenskan 1964",1964-04-12,1,AIK,"IFK Norrköping",3,3,22509
"Allsvenskan 1964",1964-04-12,1,"Degerfors IF","Örgryte IS",0,3,6093
"Allsvenskan 1964",1964-04-12,1,"IF Elfsborg","Örebro SK",1,0,5008
"Allsvenskan 1964",1964-04-12,1,"IFK Eskilstuna","IFK Göteborg",1,2,8597
"Allsvenskan 1964",1964-04-12,1,GAIS,"Helsingborgs IF",0,1,7998
"Allsvenskan 1964",1964-04-12,1,"Malmö FF","Djurgårdens IF",1,0,13513
"Allsvenskan 1964",1964-04-16,2,"Örgryte IS","IF Elfsborg",2,0,24669
"Allsvenskan 1964",1964-04-19,2,"Djurgårdens IF","IFK Eskilstuna",5,0,8176
"Allsvenskan 1964",1964-04-19,2,"IFK Göteborg","Degerfors IF",2,0,16203
"Allsvenskan 1964",1964-04-19,2,"Helsingborgs IF","Malmö FF",2,2,12151
"Allsvenskan 1964",1964-04-19,2,"IFK Norrköping",GAIS,0,1,9424
"Allsvenskan 1964",1964-04-19,2,"Örebro SK",AIK,2,1,7383
"Allsvenskan 1964",1964-04-23,3,"IFK Göteborg","Djurgårdens IF",1,3,24281
"Allsvenskan 1964",1964-04-26,3,AIK,"Örgryte IS",3,1,22085
"Allsvenskan 1964",1964-04-26,3,"Degerfors IF ","IF Elfsborg",3,1,6679
"Allsvenskan 1964",1964-04-26,3,"IFK Eskilstuna","Helsingborgs IF",0,0,7235
"Allsvenskan 1964",1964-04-26,3,GAIS,"Örebro SK",0,1,8581
"Allsvenskan 1964",1964-04-26,3,"Malmö FF","IFK Norrköping",2,0,20656
"Allsvenskan 1964",1964-05-03,4,"Djurgårdens IF","Degerfors IF",3,0,13181
"Allsvenskan 1964",1964-05-03,4,"IF Elfsborg",AIK,3,0,14141
"Allsvenskan 1964",1964-05-03,4,"Helsingborgs IF","IFK Göteborg",2,2,8252
"Allsvenskan 1964",1964-05-03,4,"IFK Norrköping","IFK Eskilstuna",7,1,9435
"Allsvenskan 1964",1964-05-03,4,"Örebro SK","Malmö FF",1,2,9453
"Allsvenskan 1964",1964-05-03,4,"Örgryte IS",GAIS,2,2,22480
"Allsvenskan 1964",1964-05-07,5,"Degerfors IF",AIK,3,1,7465
"Allsvenskan 1964",1964-05-07,5,"Djurgårdens IF","Helsingborgs IF",5,0,12035
"Allsvenskan 1964",1964-05-07,5,"IFK Eskilstuna","Örebro SK",2,2,9093
"Allsvenskan 1964",1964-05-07,5,"IFK Göteborg","IFK Norrköping",1,5,28490
"Allsvenskan 1964",1964-05-07,5,"Malmö FF","Örgryte IS",1,2,22470
"Allsvenskan 1964",1964-05-10,5,GAIS,"IF Elfsborg",1,5,15937
"Allsvenskan 1964",1964-05-15,6,"Helsingborgs IF","Degerfors IF",5,0,5719
"Allsvenskan 1964",1964-05-18,6,AIK,GAIS,2,0,9809
"Allsvenskan 1964",1964-05-18,6,"IF Elfsborg","Malmö FF",0,2,17271
"Allsvenskan 1964",1964-05-18,6,"IFK Norrköping","Djurgårdens IF",1,1,25038
"Allsvenskan 1964",1964-05-18,6,"Örebro SK","IFK Göteborg",0,2,7598
"Allsvenskan 1964",1964-05-18,6,"Örgryte IS","IFK Eskilstuna",2,1,12286
"Allsvenskan 1964",1964-05-21,7,"IFK Göteborg","Örgryte IS",3,5,42689
"Allsvenskan 1964",1964-05-24,7,"Degerfors IF",GAIS,5,2,3973
"Allsvenskan 1964",1964-05-24,7,"Djurgårdens IF","Örebro SK",3,1,10588
"Allsvenskan 1964",1964-05-24,7,"IFK Eskilstuna","IF Elfsborg",3,1,7890
"Allsvenskan 1964",1964-05-24,7,"Helsingborgs IF","IFK Norrköping",0,1,16679
"Allsvenskan 1964",1964-05-24,7,"Malmö FF",AIK,2,1,15511
"Allsvenskan 1964",1964-05-31,8,AIK,"IFK Eskilstuna",0,0,8240
"Allsvenskan 1964",1964-05-31,8,"IF Elfsborg","IFK Göteborg",0,1,8111
"Allsvenskan 1964",1964-05-31,8,"IFK Norrköping","Degerfors IF",2,2,10055
"Allsvenskan 1964",1964-05-31,8,"Örebro SK","Helsingborgs IF",4,1,5581
"Allsvenskan 1964",1964-05-31,8,"Örgryte IS","Djurgårdens IF",0,2,26210
"Allsvenskan 1964",1964-06-02,8,GAIS,"Malmö FF",0,3,4056
"Allsvenskan 1964",1964-06-03,9,"Djurgårdens IF","IF Elfsborg",1,1,6993
"Allsvenskan 1964",1964-06-04,9,"IFK Göteborg",AIK,1,3,11264
"Allsvenskan 1964",1964-06-04,9,"IFK Norrköping","Örebro SK",4,0,9954
"Allsvenskan 1964",1964-06-07,9,"Degerfors IF","Malmö FF",1,1,8863
"Allsvenskan 1964",1964-06-07,9,"IFK Eskilstuna",GAIS,2,2,7819
"Allsvenskan 1964",1964-06-07,9,"Helsingborgs IF","Örgryte IS",1,6,9860
"Allsvenskan 1964",1964-06-10,10,AIK,"Djurgårdens IF",0,0,35170
"Allsvenskan 1964",1964-06-10,10,"IF Elfsborg","Helsingborgs IF",4,3,8778
"Allsvenskan 1964",1964-06-10,10,"Örebro SK","Degerfors IF",0,2,12910
"Allsvenskan 1964",1964-06-10,10,"Örgryte IS","IFK Norrköping",1,3,25698
"Allsvenskan 1964",1964-06-11,10,"Malmö FF","IFK Eskilstuna",6,0,13795
"Allsvenskan 1964",1964-06-17,10,GAIS,"IFK Göteborg",0,1,10456
"Allsvenskan 1964",1964-06-14,11,"Djurgårdens IF",GAIS,3,1,4924
"Allsvenskan 1964",1964-06-14,11,"IFK Eskilstuna","Degerfors IF",0,0,8810
"Allsvenskan 1964",1964-06-14,11,"IFK Göteborg","Malmö FF",2,6,12306
