leaguename;matchdate;matchday;hometeam;awayteam;homescore;awayscore;attendance
"Allsvenskan 1994";1994-04-04;1;"IFK Göteborg";"Trelleborgs FF";6;0;7233
"Allsvenskan 1994";1994-04-04;1;"Halmstads BK";"IFK Norrköping";2;3;6212
"Allsvenskan 1994";1994-04-04;1;"Hammarby IF";"BK Häcken";0;0;10229
"Allsvenskan 1994";1994-04-04;1;"Landskrona BoIS";AIK;1;3;7584
"Allsvenskan 1994";1994-04-04;1;"Malmö FF";"Degerfors IF";1;0;4948
"Allsvenskan 1994";1994-04-04;1;"Västra Frölunda IF";"Östers IF";0;1;1887
"Allsvenskan 1994";1994-04-04;1;"Örebro SK";"Helsingborgs IF";3;0;6315
"Allsvenskan 1994";1994-04-10;2;"Helsingborgs IF";"IFK Göteborg";1;2;12400
"Allsvenskan 1994";1994-04-10;2;"Trelleborgs FF";"Hammarby IF";1;1;3100
"Allsvenskan 1994";1994-04-10;2;"IFK Norrköping";"Västra Frölunda IF";2;0;4139
"Allsvenskan 1994";1994-04-10;2;"Östers IF";"Malmö FF";2;4;4512
"Allsvenskan 1994";1994-04-10;2;"Degerfors IF";"Landskrona BoIS";2;0;6076
"Allsvenskan 1994";1994-04-11;2;AIK;"Örebro SK";1;1;6932
"Allsvenskan 1994";1994-04-11;2;"BK Häcken";"Halmstads BK";2;5;2151
"Allsvenskan 1994";1994-04-13;3;"Hammarby IF";"Östers IF";0;2;7182
"Allsvenskan 1994";1994-04-13;3;"Helsingborgs IF";"Trelleborgs FF";1;1;6282
"Allsvenskan 1994";1994-04-13;3;"Västra Frölunda IF";"Landskrona BoIS";3;0;923
"Allsvenskan 1994";1994-04-14;3;"IFK Göteborg";"IFK Norrköping";1;0;6474
"Allsvenskan 1994";1994-04-14;3;"Malmö FF";AIK;2;2;1082
"Allsvenskan 1994";1994-04-14;3;"Halmstads BK";"Degerfors IF";1;0;2633
"Allsvenskan 1994";1994-04-14;3;"Örebro SK";"BK Häcken";2;1;2559
"Allsvenskan 1994";1994-04-17;4;"Trelleborgs FF";"Örebro SK";1;1;2136
"Allsvenskan 1994";1994-04-17;4;"BK Häcken";"IFK Göteborg";0;2;6360
"Allsvenskan 1994";1994-04-17;4;"IFK Norrköping";"Hammarby IF";5;1;6149
"Allsvenskan 1994";1994-04-17;4;"Östers IF";"Halmstads BK";4;1;3028
"Allsvenskan 1994";1994-04-17;4;"Landskrona BoIS";"Malmö FF";1;1;5148
"Allsvenskan 1994";1994-04-18;4;AIK;"Helsingborgs IF";3;1;5448
"Allsvenskan 1994";1994-04-18;4;"Degerfors IF";"Västra Frölunda IF";0;0;4928
"Allsvenskan 1994";1994-04-24;5;"Hammarby IF";"Örebro SK";0;1;6306
"Allsvenskan 1994";1994-04-24;5;"Degerfors IF";"Östers IF";0;1;5958
"Allsvenskan 1994";1994-04-24;5;"Halmstads BK";"Helsingborgs IF";1;0;5684
"Allsvenskan 1994";1994-04-24;5;"Västra Frölunda IF";"Trelleborgs FF";0;1;1143
"Allsvenskan 1994";1994-04-24;5;"Malmö FF";"BK Häcken";5;1;2299
"Allsvenskan 1994";1994-04-25;5;"IFK Göteborg";AIK;3;1;10257
"Allsvenskan 1994";1994-04-25;5;"Landskrona BoIS";"IFK Norrköping";1;1;3673
"Allsvenskan 1994";1994-04-30;6;"Örebro SK";"IFK Göteborg";2;2;7919
"Allsvenskan 1994";1994-05-01;6;"Trelleborgs FF";"Halmstads BK";1;1;2976
"Allsvenskan 1994";1994-05-01;6;"IFK Norrköping";"Malmö FF";1;1;5753
"Allsvenskan 1994";1994-05-01;6;"Östers IF";"Landskrona BoIS";1;0;3556
"Allsvenskan 1994";1994-05-02;6;AIK;"Degerfors IF";3;1;4113
"Allsvenskan 1994";1994-05-02;6;"Helsingborgs IF";"Hammarby IF";1;0;8171
"Allsvenskan 1994";1994-05-02;6;"BK Häcken";"Västra Frölunda IF";1;1;1715
"Allsvenskan 1994";1994-05-08;7;"Halmstads BK";AIK;0;0;3691
"Allsvenskan 1994";1994-05-08;7;"Hammarby IF";"Västra Frölunda IF";0;2;5138
"Allsvenskan 1994";1994-05-08;7;"BK Häcken";"IFK Norrköping";0;3;1398
"Allsvenskan 1994";1994-05-08;7;"Trelleborgs FF";"Östers IF";1;3;2584
"Allsvenskan 1994";1994-05-08;7;"Örebro SK";"Landskrona BoIS";6;1;5314
"Allsvenskan 1994";1994-05-09;7;"IFK Göteborg";"Malmö FF";3;4;8554
"Allsvenskan 1994";1994-05-09;7;"Helsingborgs IF";"Degerfors IF";3;1;8801
"Allsvenskan 1994";1994-05-15;8;"Östers IF";"Helsingborgs IF";3;0;5136
"Allsvenskan 1994";1994-05-15;8;"Degerfors IF";"Örebro SK";0;4;9595
"Allsvenskan 1994";1994-05-15;8;"Landskrona BoIS";"IFK Göteborg";0;2;3942
"Allsvenskan 1994";1994-05-15;8;"Malmö FF";"Hammarby IF";4;0;3224
"Allsvenskan 1994";1994-05-15;8;AIK;"BK Häcken";3;1;3923
"Allsvenskan 1994";1994-05-16;8;"IFK Norrköping";"Trelleborgs FF";2;0;3240
"Allsvenskan 1994";1994-05-16;8;"Västra Frölunda IF";"Halmstads BK";1;2;1365
"Allsvenskan 1994";1994-05-18;9;"BK Häcken";"Degerfors IF";0;0;1451
"Allsvenskan 1994";1994-05-19;9;"Hammarby IF";AIK;1;2;18704
"Allsvenskan 1994";1994-05-19;9;"IFK Göteborg";"Halmstads BK";3;4;6310
"Allsvenskan 1994";1994-05-19;9;"Örebro SK";"Västra Frölunda IF";2;1;4228
"Allsvenskan 1994";1994-05-19;9;"Helsingborgs IF";"Malmö FF";0;0;10584
"Allsvenskan 1994";1994-05-19;9;"Trelleborgs FF";"Landskrona BoIS";3;0;2685
"Allsvenskan 1994";1994-05-19;9;"IFK Norrköping";"Östers IF";1;1;4837
"Allsvenskan 1994";1994-05-23;10;"Östers IF";"BK Häcken";3;1;3758
"Allsvenskan 1994";1994-05-23;10;"Degerfors IF";"Trelleborgs FF";0;0;4067
"Allsvenskan 1994";1994-05-23;10;"Landskrona BoIS";"Helsingborgs IF";0;0;8483
"Allsvenskan 1994";1994-05-23;10;"Västra Frölunda IF";"IFK Göteborg";0;2;5014
"Allsvenskan 1994";1994-05-23;10;"Halmstads BK";"Hammarby IF";3;1;3891
"Allsvenskan 1994";1994-05-23;10;AIK;"IFK Norrköping";2;0;6600
"Allsvenskan 1994";1994-05-24;10;"Malmö FF";"Örebro SK";3;2;3397
"Allsvenskan 1994";1994-05-29;11;"Hammarby IF";"IFK Göteborg";0;0;6629
"Allsvenskan 1994";1994-05-29;11;"Östers IF";AIK;1;1;6086
"Allsvenskan 1994";1994-05-29;11;"Degerfors IF";"IFK Norrköping";0;0;4301
"Allsvenskan 1994";1994-05-29;11;"Landskrona BoIS";"BK Häcken";1;1;3007
"Allsvenskan 1994";1994-05-29;11;"Västra Frölunda IF";"Helsingborgs IF";1;0;1114
"Allsvenskan 1994";1994-05-30;11;"Malmö FF";"Trelleborgs FF";0;1;8475
"Allsvenskan 1994";1994-05-30;11;"Halmstads BK";"Örebro SK";3;1;3910
"Allsvenskan 1994";1994-07-20;12;"Trelleborgs FF";"BK Häcken";1;1;1746
"Allsvenskan 1994";1994-07-20;12;"Örebro SK";"Östers IF";1;2;4206
"Allsvenskan 1994";1994-07-20;12;"Halmstads BK";"Malmö FF";1;2;5028
"Allsvenskan 1994";1994-07-21;12;"Västra Frölunda IF";AIK;2;2;1402
"Allsvenskan 1994";1994-07-25;12;"Hammarby IF";"Landskrona BoIS";5;2;7323
"Allsvenskan 1994";1994-07-27;12;"Helsingborgs IF";"IFK Norrköping";1;0;9188
"Allsvenskan 1994";1994-07-27;13;"Östers IF";"IFK Göteborg";0;2;14123
"Allsvenskan 1994";1994-07-28;13;"Degerfors IF";"Hammarby IF";1;0;6588
"Allsvenskan 1994";1994-07-28;13;"Landskrona BoIS";"Halmstads BK";2;1;2583
"Allsvenskan 1994";1994-08-03;14;"IFK Göteborg";"Hammarby IF";2;1;9108
"Allsvenskan 1994";1994-08-03;14;"Örebro SK";"Halmstads BK";3;3;5380
"Allsvenskan 1994";1994-08-03;14;"Trelleborgs FF";"Malmö FF";1;2;5086
"Allsvenskan 1994";1994-08-03;14;AIK;"Östers IF";2;1;7469
"Allsvenskan 1994";1994-08-04;14;"Helsingborgs IF";"Västra Frölunda IF";3;2;8240
"Allsvenskan 1994";1994-08-04;14;"BK Häcken";"Landskrona BoIS";0;1;1160
"Allsvenskan 1994";1994-08-04;14;"IFK Norrköping";"Degerfors IF";4;0;3811
"Allsvenskan 1994";1994-08-06;15;"Trelleborgs FF";AIK;2;0;1995
"Allsvenskan 1994";1994-08-06;15;"IFK Göteborg";"Östers IF";2;0;9001
"Allsvenskan 1994";1994-08-07;15;"Örebro SK";"IFK Norrköping";3;0;5130
"Allsvenskan 1994";1994-08-07;15;"Helsingborgs IF";"BK Häcken";3;2;7944
"Allsvenskan 1994";1994-08-07;15;"Halmstads BK";"Landskrona BoIS";2;0;3738
"Allsvenskan 1994";1994-08-08;15;"Hammarby IF";"Degerfors IF";0;1;7679
"Allsvenskan 1994";1994-08-08;15;"Västra Frölunda IF";"Malmö FF";4;1;1434
"Allsvenskan 1994";1994-08-14;16;"Degerfors IF";"IFK Göteborg";2;4;7711
"Allsvenskan 1994";1994-08-14;16;"IFK Norrköping";"Helsingborgs IF";7;0;2863
"Allsvenskan 1994";1994-08-14;16;"Östers IF";"Örebro SK";2;3;3161
"Allsvenskan 1994";1994-08-14;16;"Malmö FF";"Halmstads BK";3;1;2205
"Allsvenskan 1994";1994-08-14;16;AIK;"Västra Frölunda IF";1;2;3478
"Allsvenskan 1994";1994-08-15;16;"BK Häcken";"Trelleborgs FF";3;1;1023
"Allsvenskan 1994";1994-08-15;16;"Landskrona BoIS";"Hammarby IF";1;3;3282
"Allsvenskan 1994";1994-08-20;17;"Hammarby IF";"Trelleborgs FF";1;3;6359
"Allsvenskan 1994";1994-08-20;17;"Örebro SK";AIK;2;0;4305
"Allsvenskan 1994";1994-08-21;17;"Malmö FF";"Östers IF";1;1;5058
"Allsvenskan 1994";1994-08-21;17;"Västra Frölunda IF";"IFK Norrköping";0;1;1495
"Allsvenskan 1994";1994-08-22;17;"Halmstads BK";"BK Häcken";1;3;2828
"Allsvenskan 1994";1994-08-22;17;"Landskrona BoIS";"Degerfors IF";1;3;2522
"Allsvenskan 1994";1994-08-25;18;"Helsingborgs IF";"Örebro SK";0;2;5774
"Allsvenskan 1994";1994-08-28;18;"IFK Norrköping";"Halmstads BK";4;1;2833
"Allsvenskan 1994";1994-08-28;18;"Degerfors IF";"Malmö FF";2;6;5374
"Allsvenskan 1994";1994-08-28;18;"Trelleborgs FF";"IFK Göteborg";0;0;3987
"Allsvenskan 1994";1994-08-28;18;"Östers IF";"Västra Frölunda IF";1;0;2248
"Allsvenskan 1994";1994-08-29;18;AIK;"Landskrona BoIS";3;2;2356
"Allsvenskan 1994";1994-08-29;18;"BK Häcken";"Hammarby IF";2;2;1506
"Allsvenskan 1994";1994-08-31;19;"Västra Frölunda IF";"Örebro SK";1;3;1149
"Allsvenskan 1994";1994-08-31;19;"Halmstads BK";"IFK Göteborg";3;1;6152
"Allsvenskan 1994";1994-08-31;19;"Malmö FF";"Helsingborgs IF";2;0;10948
"Allsvenskan 1994";1994-08-31;19;"Östers IF";"IFK Norrköping";1;1;4287
"Allsvenskan 1994";1994-09-01;19;"Degerfors IF";"BK Häcken";2;1;4176
"Allsvenskan 1994";1994-09-01;19;"Landskrona BoIS";"Trelleborgs FF";0;2;1958
