leaguename,matchdate,matchday,hometeam,awayteam,homescore,awayscore,attendance
"Allsvenskan 2005",2005-04-09,1,"Helsingborgs IF","Halmstads BK",2,0,14453
"Allsvenskan 2005",2005-04-10,1,"Kalmar FF","Gefle IF",1,0,4873
"Allsvenskan 2005",2005-04-10,1,"Malmö FF","IFK Göteborg",1,2,26504
"Allsvenskan 2005",2005-04-11,1,"Djurgårdens IF","BK Häcken",2,1,12823
"Allsvenskan 2005",2005-04-11,1,"GIF Sundsvall","IF Elfsborg",3,1,6112
"Allsvenskan 2005",2005-04-11,1,"Örgryte IS","Landskrona BoIS",2,1,3563
"Allsvenskan 2005",2005-04-12,1,"Assyriska FF","Hammarby IF",1,2,14232
"Allsvenskan 2005",2005-04-17,2,"IFK Göteborg","Assyriska FF",0,3,11646
"Allsvenskan 2005",2005-04-17,2,"Landskrona BoIS","Malmö FF",0,1,9649
"Allsvenskan 2005",2005-04-17,2,"IF Elfsborg","Örgryte IS",1,0,15064
"Allsvenskan 2005",2005-04-18,2,"BK Häcken","GIF Sundsvall",1,0,3118
"Allsvenskan 2005",2005-04-18,2,"Halmstads BK","Djurgårdens IF",3,1,7038
"Allsvenskan 2005",2005-04-18,2,"Hammarby IF","Kalmar FF",0,0,11485
"Allsvenskan 2005",2005-04-19,2,"Gefle IF","Helsingborgs IF",1,2,6446
"Allsvenskan 2005",2005-04-24,3,"Assyriska FF","Halmstads BK",0,0,6112
"Allsvenskan 2005",2005-04-24,3,"GIF Sundsvall","Landskrona BoIS",2,2,5182
"Allsvenskan 2005",2005-04-24,3,"Malmö FF","Gefle IF",3,0,13489
"Allsvenskan 2005",2005-04-25,3,"Djurgårdens IF","Örgryte IS",2,2,10507
"Allsvenskan 2005",2005-04-25,3,"Helsingborgs IF","IF Elfsborg",3,0,9375
"Allsvenskan 2005",2005-04-25,3,"Kalmar FF","BK Häcken",2,0,4057
"Allsvenskan 2005",2005-04-26,3,"IFK Göteborg","Hammarby IF",1,0,11228
"Allsvenskan 2005",2005-05-01,4,"Gefle IF","Assyriska FF",1,0,5727
"Allsvenskan 2005",2005-05-01,4,"Halmstads BK","Kalmar FF",0,1,6088
"Allsvenskan 2005",2005-05-01,4,"Örgryte IS","GIF Sundsvall",4,1,4017
"Allsvenskan 2005",2005-05-02,4,"IF Elfsborg","Djurgårdens IF",1,2,8933
"Allsvenskan 2005",2005-05-02,4,"BK Häcken","Helsingborgs IF",3,0,2097
"Allsvenskan 2005",2005-05-02,4,"Landskrona BoIS","IFK Göteborg",1,1,4359
"Allsvenskan 2005",2005-05-03,4,"Hammarby IF","Malmö FF",1,1,12388
"Allsvenskan 2005",2005-05-08,5,"Assyriska FF","Malmö FF",0,2,2746
"Allsvenskan 2005",2005-05-08,5,"IF Elfsborg","Landskrona BoIS",1,2,6160
"Allsvenskan 2005",2005-05-08,5,"Örgryte IS","BK Häcken",0,4,5717
"Allsvenskan 2005",2005-05-09,5,"Djurgårdens IF","Gefle IF",3,1,10310
"Allsvenskan 2005",2005-05-09,5,"Helsingborgs IF","Hammarby IF",2,1,9279
"Allsvenskan 2005",2005-05-09,5,"Kalmar FF","IFK Göteborg",0,0,7139
