leaguename;matchdate;matchday;hometeam;awayteam;homescore;awayscore;attendance
"Allsvenskan 2013";2013-03-31;1;"Helsingborgs IF";"Djurgårdens IF";NULL;NULL;NULL
"Allsvenskan 2013";2013-03-31;1;"Syrianska FC";"Kalmar FF";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-01;1;"Mjällby AIF";"IFK Norrköping";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-01;1;"Malmö FF";"Halmstads BK";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-01;1;"Gefle IF";"Åtvidabergs FF";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-01;1;"IF Brommapojkarna";"Östers IF";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-01;1;"IF Elfsborg";AIK;NULL;NULL;NULL
"Allsvenskan 2013";2013-03-31;1;"BK Häcken";"IFK Göteborg";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-05;2;"Åtvidabergs FF";"Malmö FF";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-07;2;AIK;"Syrianska FC";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-07;2;"IFK Göteborg";"IF Brommapojkarna";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-07;2;"Kalmar FF";"BK Häcken";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-07;2;"Halmstads BK";"IF Elfsborg";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-08;2;"IFK Norrköping";"Gefle IF";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-08;2;"Djurgårdens IF";"Mjällby AIF";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-08;2;"Östers IF";"Helsingborgs IF";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-12;3;"IF Brommapojkarna";"IFK Norrköping";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-13;3;"Syrianska FC";"Östers IF";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-14;3;"Malmö FF";"Kalmar FF";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-14;3;"Åtvidabergs FF";AIK;NULL;NULL;NULL
"Allsvenskan 2013";2013-04-14;3;"BK Häcken";"Djurgårdens IF";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-14;3;"Gefle IF";"Halmstads BK";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-15;3;"Helsingborgs IF";"Mjällby AIF";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-15;3;"IF Elfsborg";"IFK Göteborg";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-17;4;"Östers IF";"BK Häcken";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-17;4;"Halmstads BK";"Åtvidabergs FF";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-17;4;AIK;"Malmö FF";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-18;4;"Djurgårdens IF";"IF Brommapojkarna";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-18;4;"Kalmar FF";"IF Elfsborg";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-18;4;"Mjällby AIF";"Gefle IF";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-18;4;"IFK Göteborg";"Syrianska FC";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-18;4;"IFK Norrköping";"Helsingborgs IF";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-21;5;"Åtvidabergs FF";"IFK Göteborg";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-21;5;"Halmstads BK";"Kalmar FF";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-21;5;"BK Häcken";"Mjällby AIF";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-21;5;"IF Brommapojkarna";"Helsingborgs IF";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-22;5;"Syrianska FC";"IFK Norrköping";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-22;5;"Malmö FF";"Östers IF";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-22;5;"Gefle IF";AIK;NULL;NULL;NULL
"Allsvenskan 2013";2013-04-22;5;"IF Elfsborg";"Djurgårdens IF";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-25;6;"IFK Göteborg";"Malmö FF";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-26;6;"IFK Norrköping";"BK Häcken";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-27;6;"Djurgårdens IF";"Syrianska FC";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-27;6;"Kalmar FF";"Åtvidabergs FF";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-27;6;"Helsingborgs IF";"Gefle IF";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-28;6;AIK;"Halmstads BK";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-28;6;"Mjällby AIF";"IF Brommapojkarna";NULL;NULL;NULL
"Allsvenskan 2013";2013-04-28;6;"Östers IF";"IF Elfsborg";NULL;NULL;NULL
"Allsvenskan 2013";2013-05-03;7;"Malmö FF";"IFK Norrköping";NULL;NULL;NULL
"Allsvenskan 2013";2013-05-04;7;"Åtvidabergs FF";"Djurgårdens IF";NULL;NULL;NULL
"Allsvenskan 2013";2013-05-05;7;"Halmstads BK";"Östers IF";NULL;NULL;NULL
"Allsvenskan 2013";2013-05-05;7;"IF Elfsborg";"Mjällby AIF";NULL;NULL;NULL
"Allsvenskan 2013";2013-05-05;7;"Syrianska FC";"Helsingborgs IF";NULL;NULL;NULL
"Allsvenskan 2013";2013-05-06;7;"Gefle IF";"Kalmar FF";NULL;NULL;NULL
"Allsvenskan 2013";2013-05-06;7;"BK Häcken";"IF Brommapojkarna";NULL;NULL;NULL
"Allsvenskan 2013";2013-05-06;7;AIK;"IFK Göteborg";NULL;NULL;NULL
"Allsvenskan 2013";2013-05-10;8;"IFK Norrköping";"IF Elfsborg";NULL;NULL;NULL
"Allsvenskan 2013";2013-05-11;8;"IFK Göteborg";"Halmstads BK";NULL;NULL;NULL
"Allsvenskan 2013";2013-05-12;8;"Kalmar FF";AIK;NULL;NULL;NULL
"Allsvenskan 2013";2013-05-12;8;"Mjällby AIF";"Syrianska FC";NULL;NULL;NULL
"Allsvenskan 2013";2013-05-12;8;"Djurgårdens IF";"Malmö FF";NULL;NULL;NULL
"Allsvenskan 2013";2013-05-13;8;"Östers IF";"Åtvidabergs FF";NULL;NULL;NULL
"Allsvenskan 2013";2013-05-13;8;"IF Brommapojkarna";"Gefle IF";NULL;NULL;NULL
"Allsvenskan 2013";2013-05-13;8;"Helsingborgs IF";"BK Häcken";NULL;NULL;NULL
"Allsvenskan 2013";2013-05-17;9;"Mjällby AIF";"Malmö FF";NULL;NULL;NULL
"Allsvenskan 2013";2013-05-18;9;"IF Brommapojkarna";"Syrianska FC";NULL;NULL;NULL
"Allsvenskan 2013";2013-05-19;9;"Östers IF";AIK;NULL;NULL;NULL
"Allsvenskan 2013";2013-05-19;9;"BK Häcken";"Gefle IF";NULL;NULL;NULL
"Allsvenskan 2013";2013-05-19;9;"Djurgårdens IF";"Halmstads BK";NULL;NULL;NULL
"Allsvenskan 2013";2013-05-19;9;"IFK Göteborg";"Kalmar FF";NULL;NULL;NULL
"Allsvenskan 2013";2013-05-20;9;"IFK Norrköping";"Åtvidabergs FF";NULL;NULL;NULL
"Allsvenskan 2013";2013-05-20;9;"Helsingborgs IF";"IF Elfsborg";NULL;NULL;NULL
"Allsvenskan 2013";2013-05-29;10;"Malmö FF";"Helsingborgs IF";NULL;NULL;NULL
"Allsvenskan 2013";2013-05-22;10;"Gefle IF";"IFK Göteborg";NULL;NULL;NULL
"Allsvenskan 2013";2013-05-22;10;"IF Elfsborg";"IF Brommapojkarna";NULL;NULL;NULL
"Allsvenskan 2013";2013-05-22;10;AIK;"Djurgårdens IF";NULL;NULL;NULL
"Allsvenskan 2013";2013-05-23;10;"Halmstads BK";"IFK Norrköping";NULL;NULL;NULL
"Allsvenskan 2013";2013-05-23;10;"Åtvidabergs FF";"Mjällby AIF";NULL;NULL;NULL
"Allsvenskan 2013";2013-05-23;10;"Syrianska FC";"BK Häcken";NULL;NULL;NULL
"Allsvenskan 2013";2013-05-23;10;"Kalmar FF";"Östers IF";NULL;NULL;NULL
"Allsvenskan 2013";2013-05-29;11;"Syrianska FC";"Gefle IF";NULL;NULL;NULL
"Allsvenskan 2013";2013-05-30;11;"Djurgårdens IF";"Kalmar FF";NULL;NULL;NULL
"Allsvenskan 2013";2013-05-30;11;"IFK Norrköping";AIK;NULL;NULL;NULL
"Allsvenskan 2013";2013-05-31;11;"Östers IF";"IFK Göteborg";NULL;NULL;NULL
"Allsvenskan 2013";2013-06-01;11;"Mjällby AIF";"Halmstads BK";NULL;NULL;NULL
"Allsvenskan 2013";2013-06-01;11;"Helsingborgs IF";"Åtvidabergs FF";NULL;NULL;NULL
"Allsvenskan 2013";2013-06-01;11;"IF Brommapojkarna";"Malmö FF";NULL;NULL;NULL
"Allsvenskan 2013";2013-06-01;11;"BK Häcken";"IF Elfsborg";NULL;NULL;NULL
"Allsvenskan 2013";2013-06-16;12;"Kalmar FF";"IFK Norrköping";NULL;NULL;NULL
"Allsvenskan 2013";2013-06-16;12;"IFK Göteborg";"Djurgårdens IF";NULL;NULL;NULL
"Allsvenskan 2013";2013-06-16;12;"Gefle IF";"Östers IF";NULL;NULL;NULL
"Allsvenskan 2013";2013-06-16;12;AIK;"Mjällby AIF";NULL;NULL;NULL
"Allsvenskan 2013";2013-06-16;12;"Halmstads BK";"Helsingborgs IF";NULL;NULL;NULL
"Allsvenskan 2013";2013-06-16;12;"Åtvidabergs FF";"IF Brommapojkarna";NULL;NULL;NULL
